source_name,eu_name
chlorothalonil + dimethomorph,Dimethomorph
cymoxanil + metirame de zinc,Metiram
cymoxanil+ propinebe,Propineb
difenoconazole + cyflufenamid famille chimique triazoles+ amidoximes,Cyflufenamid
difenoconazole + fludioxonil + sedexane,Fludioxonil
dimethomorph + mancozebe,Dimethomorph
dimethomorph + fluazinam,Fluazinam
dimetomorphe + folpel,Dimethomorph
hiabend,Thiabendazole
famoxadone + mancozebe,Famoxadone
fenamidone + fosethyl-al,Fenamidone
fenhexamide,Fenhexamid
fluoxastrobine,Fluoxastrobin
fluopyram + trifloxystrobin,Trifloxystrobin
fluxapyroxad + pyraclostrobine,Pyraclostrobin
fosetyl al,Fosetyl
fosetyl-al,Fosetyl
fosethyl-al +fluopicolide,Fluopicolide
fosetyl al + folpel + iprovalicarbe,Iprovalicarb
hymexazole,Hymexazol
kresoxim-methyl,Kresoxim-methyl
mancozebe + benalaxyl,Benalaxyl
mandipropamide,Mandipropamid
manebe,Maneb
metalaxyl + mancozebe,Metalaxyl
metirame de zinc pyraclostrobin,Metiram
prochloraze + triticonazole,Triticonazole
propamocarbe,Propamocarb
prothioconazole + trifloxystrobin,Trifloxystrobin
pyraclostrobine metconazole,Metconazole
pyrimethanil,Pyrimethanil
pythium oligandrum,Pythium oligandrum strain M1
reynoutria sachalinensis extract de la plante renouee de sakhaline,Reynoutria sachalinensis extract
thiophanate-methyl,Thiophanate (ethyl)
zirame,Ziram
aminopyralydes + florasulam,Asulam
amidosulfuron + iodosulfuron + mefempyr diethyl,Iodosulfuron
halauxifen-methyl halauxifen-methyl + pyroxsulam + cloquintocet acid,Pyroxsulam
clethodime,Clethodim
chlortoluron,Chlorotoluron
chlortoluron + isoxaben,Isoxaben
clodinafop-propargil,Clodinafop
clodinafop-propagyl + cloquintocet-2mexyl,Clodinafop
clodinafop-propargy + cloquintocet-2mexyl,Clodinafop
dicamba + 2 4 d,Dicamba
diflufenican + flufenacet + flurtamone,Flurtamone
diflufenican + metsulfuron-methyl,Metsulfuron-methyl
diquat dibromide,Diquat
fenoxaprop-p-ethyl,Fenoxaprop
fenoxaprop-p-ethyl + iodosulfuron-methyl sodium +mefenpyr diethyl,Iodosulfuron
florosulame + flumetsulame,Flumetsulam
fluazifop-p-butyl,Fluazifop
fluroxypyr ester1-methyl heptyl,Fluroxypyr
fluroxypyr + clopyralid,Clopyralid
glyphosate + oxyfluorfene,Oxyfluorfen
haloxyfop-r,Haloxyfop
iodosulfuron + mesosulfuron + mefenpyr,Mesosulfuron
mesosulfuron-methyl mesomax + iodosulfuron + mefenpyr diethyl,Mesosulfuron
mesosulfuron-methyl+ iodosulfuron-methyl + mefenpyr diethyl,Iodosulfuron
mesosulfuron-methyl+iodosulfuron methyl sodium + mefenpyr diethyl safener,Iodosulfuron
mesosulfuron-methyle propoxcarbasone-sodium mefenpyr-diethyle phytoprotecteur,Mesosulfuron
metazachlore,Metazachlor
metazachlore +quinmerac,Quinmerac
metosulame,Metosulam
metribuzine,Metribuzin
metribuzine+ clomazone,Clomazone
pendimethaline,Pendimethalin
phenmediphame + desmedipham + ethofumesate,Ethofumesate
phenmedipham + desmedopham + ethofumesate,Phenmedipham
pinoxaden + clodinafop-propargyl+ cloquintocet-mexyl,Clodinafop
propoxycarbazon sodium,Propoxycarbazone
quizalofop p-ethyl,Quizalofop
quizalofop p-tefuryl,Quizalofop
thifensulfuron-methyl + tribuneron-methyl,Thifensulfuron-methyl
tribenuron-methyl,Tribenuron (aka metometuron)
tribenuron methyl + florasulam,Tribenuron (aka metometuron)
trifluraline,Trifluralin
2 4-d acid 2-ethylhexyl ester ehe,"2,4-D"
2 4-d salt amine,"2,4-D"
2 4-d salt dimethylamine,"2,4-D"
2 4-d + mcpa,MCPA
acibenzolar-s-,Acibenzolar-S-methyl (benzothiadiazole)
methyl,Cinmethylin
alkylphenolexy-ethylene,Ethylene
chloroprophame,Propham
chlormequat-chlorure,Chlormequat
cyanamide d hydrogene,Cyanamide (H & Ca cyanamide)
dichloroprop-p,Dichlorprop-P
deltametrine + ammonium acetate + trimethylamine hcl + 1 4diaminobutane putrescine,Ammonium Acetate
-sels d ammonium et amines acetate d ammonium91 + trimethylamine hydrochloride + diaminoalcane-ferag 1d tm ddvp soit,Ammonium Acetate
formate d ethyl + co2,Ethyl formate
metaldehyde,Metaldehyde
methaldehyde,Metaldehyde
prohexadione-calcium,Prohexadione
trichoderma harzianum t-22,Trichoderma harzianum T78
trichoderma asperellum icc 012 + trichoderma gamsii icc 080,Trichoderma gamsii (formerly T. viride) strain ICC080
ammonium acetate + trimethylamine hydrochloride + esfenvalerate,Fenvalerate
polyoxyethylene amine,Ethylene
acetamiprid +,Acetamiprid
spkurstaki strain,Streptomyces strain K61 (formerly S. griseoviridis)
abts-351,Bacillus thuringiensis subsp. Kurstaki strain ABTS-351
beauveria bassiana strain,Beauveria bassiana strain 203
r444,Beauveria bassiana strain R444
atcc 74040,Beauveria bassiana strain ATCC 74040
+acibenzolar-s-methyl,Acibenzolar-S-methyl (benzothiadiazole)
flonicamid,Flonicamid (IKI-220)
eopolyhedrovirus,Helicoverpa armigera nucleopolyhedrovirus (HearNPV)
imidacloprid + lambda-,lambda-Cyhalothrin
cyhalothrine,Cyhalothrin
pyriproxyfen,Pyriproxyfen
tetradecadien-1-yl,"(E,Z)-8,10-Tetradecadien-1-yl"
ametoctradin+,Ametoctradin
aureobasidium pullulans,Aureobasidium pullulans (strains DSM 14940 and DSM 14941)
+mefenoxam metalaxyl-,Metalaxyl
azoxystrobine+propicon,Propiconazole
azole,Etoxazole
bacillus,Bacillus sphaericus
amyloliquefaciens,Bacillus amyloliquefaciens AH2
amyloliquefaciens strain,Bacillus amyloliquefaciens strain FZB42
fzb24,Bacillus amyloliquefaciens strain FZB24
bacillus subtilis strain,Bacillus subtilis strain RTI477
iab bs03,Bacillus subtilis strain IAB/BS03
