Substance(s) active(s),P.Comm,Société,Fabricant
Soufre,Sulpex,AGRIMATCO,Agrostulln GmbH
Tébuconazole,METROSTAR SC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
Tébuconazole,Corail,PROMOCHIMIE,BAYER CROPSCIENCE
Tébuconazole,Camaro430SC,RAYEN PHYTAGRI,SHARDA
Thiophanate-Méthyl,Pelt 500 SC,ATLAS AGRICOLE,BAYER AG.
Thiophanate-Méthyl,thiophyl 50 SC,SHARDA,Non spécifié
"2,4 D –Ester butylglycol",Desormone lourd,SEPCM,NUFARM
"2,4-D Acide +Florasulam",Nikos 306 SE,ATLAS AGRICOLE,DOW AGROSCIENCES/corteva
"2,4-D Sel d’amine",Dicopur 720 SL,AGRIPROTEC,NUFARM
"2,4-D Sel d’amine",Sanaphen D 720 SL,ATLAS AGRICOLE,DOW
Chlorotoluron +pendimeyhalin+ diflufenican,UMBRA 590 SC,BIOPROTECTION,SYNGENTA
Cycloxidime,stratos ultra EC,agriprotec,BASF
Dicamba-Sel Dimethylamine (DMA),procamba,SSCC,gharda chemical
Iodosulfuron +Mesosulfuron +Mefenpyr,Atlantis,ATLAS AGRICOLE,BAYER CROPSCIENCE
Indaziflam,Alion 500 SC,PROMOCHIMIE,BAYER
Lenacil,VENZAR,SEPCM,FMC
Metazachlor +Quinmerac,RAPSAN TDI SC,AGROSYSTEMES,Globachem
Metazachlore,TWIGA,BIOPROTECTION,AAKO BV
Metribuzine+Clomazone,CETUS,AGRIPROTEC,FMC
Metsulfuron Méthyl,Isomexx,AGRIPROTEC,NUFARM
Propyzamide,PROPYZ,AGRIPROTEC,BARCLAY CHEMICALS Ltd
Propyzamide,PROPER FLO SC,AGROSYSTEMES,Globachem
Pyroxsulam,PRIORITY,ATLAS AGRICOLE,DOW AGROSCIENCES
Pyroxsulam,Pallas 45 OD,SEPCM,DOW AGROSCIENCES
Pyroxasulfone,YAMATO 85 WG,AGRIMATCO,Kumai chemical industry
S-metolachlor,TENDER 960 EC,SOLAGRI,SYNGENTA
Tepraloxydim,Aramo 50 EC,COTUGRAIN IMPEX,BASF
