SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_Corr_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_Corr_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_Corr_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SUBSTANCE_Corr_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE,Status_Glb
TEBUCONAZOLE +PROCHLORAZ,WINNER,BIOPROTECTION,NUFARM SAS,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,PROCHLORAZ,PROCHLORAZ,PROCHLORAZE,,,,,,,BIOPROTECTION,NUFARM,Not Approved
TEBUCONAZOLE,COLOSSAL,HALAB TUNISIE,JSC AUGUST INC,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,HALAB TUNISIE,JSC AUGUST INC,
TEBUCONAZOLE,KEYZOL SC,EL KHADRA,AVGUST CROP CORPORATION,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,EL KHADRA,AVGUST CORPORATION,
TEBUCONAZOLE,MYCOSEEDS FS 60,EL KHADRA,SHARDA WORLD WIDE,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,EL KHADRA,SHARDA WORLD WIDE,
TEBUCONAZOLE,SONG EC,ATLAS AGRICOLE,SIPCAM INAGRA,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,ATLAS,SIPCAM INAGRA,
TEBUCONAZOLE,TEBUSHA 6 FS,AGRINOVA,SHARDA WORLD WIDE,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,AGRINOVA,SHARDA WORLD WIDE,
TEBUCONAZOLE,TIMER FS 060,STEC,BAYER CROPSCIENCE,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,STEC,BAYER CROPSCIENCE,
TÉBUCONAZOLE +TRIFLOXYSTROBINE,GREEN STAR,AGRIPROTEC,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,,,,,,,AGRIPROTEC,BAYER CROPSCIENCE,
TÉBUCONAZOLE + TRIFLOXYSTROBINE,NATIVO 300 SC,STEC,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,,,,,,,STEC,BAYER CROPSCIENCE,
TÉBUCONAZOLE + PROTHIOCONAZOLE,TILMOR 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,,,,,,,JADWA AGROTEC,BAYER CROPSCIENCE,
TÉBUCONAZOLE,AZUROS,SLDA,SHARDA CROPCHEM,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,SLDA,SHARDA CROPCHEM,
TÉBUCONAZOLE,CAMARO430SC,RAYEN PHYTAGRI,SHARDA CROPCHEM LIMITED INDE,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,RAYEN PHYTAGRI,SHARDA CROPCHEM INDE,
TÉBUCONAZOLE,CORAIL,PROMOCHIMIE,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,PROMOCHIMIE,BAYER CROPSCIENCE,
TÉBUCONAZOLE,HORIZON 250 EW,PROMOCHIMIE,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,PROMOCHIMIE,BAYER CROPSCIENCE,
TÉBUCONAZOLE,KONAN EW,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,
TÉBUCONAZOLE,MATIZ,SANABEL AGRO,ROTAM AGROCHEMICAL,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,SANABEL AGRO,ROTAM,
TÉBUCONAZOLE,METROSTAR SC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY,
