SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_Corr_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_Corr_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_Corr_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SUBSTANCE_Corr_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE,Status_Glb
"(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)",SHIN –ETSU MD T,COTUGRAIN,SHIN ETSU CHEMICAL/ CBC (EUROPE),"(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)","(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)","(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)",,,,,,,,,,COTUGRAIN,SHIN ETSU CBC EUROPE,
"(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE",PHERODIS TUTA ABSOLUTA,NUTRIPLANT,KOPPERT,"(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE","(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE","(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE",,,,,,,,,,NUTRIPLANT,KOPPERT,
"2,4 D –ESTER BUTYLGLYCOL",DESORMONE LOURD,SEPCM,NUFARM,"2,4 D –ESTER BUTYLGLYCOL","2,4 D –ESTER BUTYLGLYCOL","2,4 D –ESTER BUTYLGLYCOL",,,,,,,,,,SEPCM,NUFARM,
"2,4-D ACIDE +FLORASULAM",NIKOS 306 SE,ATLAS AGRICOLE,DOW AGROSCIENCES/CORTEVA,"2,4-D ACIDE","2,4-D ACIDE","2,4-D ACIDE",FLORASULAM,FLORASULAM,FLORASULAME,,,,,,,ATLAS,DOW AGROSCIENCES CORTEVA,
"2,4-D SEL D’AMINE",CHARDOL 720 SL,BIOPROTECTION,NUFARM,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,BIOPROTECTION,NUFARM,
"2,4-D SEL D’AMINE",DICOPUR 720 SL,AGRIPROTEC,NUFARM,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,AGRIPROTEC,NUFARM,
"2,4-D SEL D’AMINE",SANAPHEN D 720 SL,ATLAS AGRICOLE,DOW,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,ATLAS,DOW,
"2,4-D SEL D’AMINE",SHARMINA 720 SL,AGRINOVA,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,AGRINOVA,SHARDA,
"2,4-D SEL D’AMINE",STOPWEEDS,SANABEL AGRO,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,SANABEL AGRO,SHARDA,
"2,4-D SEL D’AMINE",TOPOL,EL KHADRA,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,EL KHADRA,SHARDA,
"2,4-D SEL DE DIMETHYLAMINE",AMANORA,AGRIMATCO,UPL,"2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",,,,,,,,,,AGRIMATCO,UPL,
"2,4-D SEL DE DIMETHYLAMINE",BLITZ 720 SL,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD/NANJING FENGSHAN CHEMICAL","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",,,,,,,,,,EL KHADRA,JIANGSU FENGSHAN GROUP NANJING FENGSHAN,
"2,4-D SEL DE DIMETHYLAMINE",BOZAR,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",,,,,,,,,,AGRIPLUS,JIANGSU FENGSHAN GROUP,
"2,4-D SEL DE DIMETHYLAMINE",DIAMEX SL,COTUGRAIN,UPL,"2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",,,,,,,,,,COTUGRAIN,UPL,
2.4-D + GLYPHOSPHATE,KYLEO,EL MOUSSEM AGRICOLE,NUFARM,2.4-D,2.4-D,2.4-D,GLYPHOSPHATE,GLYPHOSPHATE,GLYPHOSPHATE,,,,,,,EL MOUSSEM,NUFARM,
2.4-D +GLYPHOSPHATE,NUFOSATESL,AGRIPROTEC,NUFARM,2.4-D,2.4-D,2.4-D,GLYPHOSPHATE,GLYPHOSPHATE,GLYPHOSPHATE,,,,,,,AGRIPROTEC,NUFARM,
ABAMECTIN +THIAMETHOXAM,SOLVIGO 185 SC,COTUGRAIN IMPEX,SYNGENTA,ABAMECTIN,ABAMECTIN,ABAMECTINE,THIAMETHOXAM,THIAMETHOXAM,THIAMETHOXAM,,,,,,,COTUGRAIN IMPEX,SYNGENTA,Not Approved
ABAMECTINE,AAKOMECTINE,STEC,AAKO BV,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,STEC,AAKO BV,
ABAMECTINE,ACTROSE 18 EC,ETS MEZGHANI,ASTRACHEM,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,ETS MEZGHANI,ASTRACHEM,
ABAMECTINE,AGRIMEC GOLD 084 SC,BIOPROTECTION,SYNGENTA,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,BIOPROTECTION,SYNGENTA,
ABAMECTINE,DIVA 1.8 EW,EL MOUSSEM AGRICOLE,CHEMINOVA,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,EL MOUSSEM,CHEMINOVA,
ABAMECTINE,LAOTTA,ATLAS AGRICOLE,LAINCO,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,ATLAS,LAINCO,
ABAMECTINE,MECTINE PRO,JADWA AGROTEC,AAKO BV,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,JADWA AGROTEC,AAKO BV,
ABAMECTINE,NUMECTIN,AGRIPROTEC,NUFARM FRANCE,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,AGRIPROTEC,NUFARM,
ABAMECTINE,POTENZA 1.8,SANABEL AGRO,SINON CORPORATION,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,SANABEL AGRO,SINON CORPORATION,
ABAMECTINE,ROMECTIN EC,AGRONOMIC LAND,"ROTAM CHEMISTRY CO.,LTD",ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,AGRONOMIC LAND,ROTAM CHEMISTRY,
ABAMECTINE,TERVIGO 020 SC,BIOPROTECTION,SYNGENTA CROP PROTECTION AG,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,BIOPROTECTION,SYNGENTA AG,
ABAMECTINE,TINA EC,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,
ABAMECTINE,VARGAS ULTRA EC,SOLAGRI,"ROTAM CHEMISTRY CO.,LTD/ALBAUGH",ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,SOLAGRI,ROTAM CHEMISTRY ALBAUGH,
ABAMECTINE,VERTIMEC,BIOPROTECTION,SYNGENTA,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,BIOPROTECTION,SYNGENTA,
ABAMECTINE,ZORO,SSCC,CHEMINOVA/ FMC,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,,,,SSCC,CHEMINOVA FMC,
ACETAMEPRID,POLYSECT,SOCOOPEC,SHARDA,ACETAMEPRID,ACETAMEPRID,ACETAMIPRIDE,,,,,,,,,,SOCOOPEC,SHARDA,
ACÉTAMEPRID,ACETADE FORT,SANABEL AGRO,SHARDA CROPCHEM,ACÉTAMEPRID,ACÉTAMEPRID,ACETAMIPRIDE,,,,,,,,,,SANABEL AGRO,SHARDA CROPCHEM,
ACETAMIPRID + PYRIPROXYFEN,CANVION310 DC,COTUGRAIN,SYNGENTA CROP PROTECTION,ACETAMIPRID,ACETAMIPRID,ACETAMIPRIDE,PYRIPROXYFEN,PYRIPROXYFEN,PYRIPROXYFENE,,,,,,,COTUGRAIN,SYNGENTA,
ACETAMIPRID,CAPILAN SL,NEGANOR,AGROW ALLIED,ACETAMIPRID,ACETAMIPRID,ACETAMIPRIDE,,,,,,,,,,NEGANOR,AGROW ALLIED,
ACETAMIPRID,POTEGON 20 SP,PLANETE VERTE,ASTRANOVA,ACETAMIPRID,ACETAMIPRID,ACETAMIPRIDE,,,,,,,,,,PLANETE VERTE,ASTRANOVA,
ACETAMIPRIDE,ESCORT 20 SL,BIOPROTECTION,UPL/(NIPPON,ACETAMIPRIDE,ACETAMIPRIDE,ACETAMIPRIDE,,,,,,,,,,BIOPROTECTION,UPL NIPPON,
"ACETATE D’AMMONIUM + TRIMETHYLAMINE HCL + 1,4-DIAMINOBUTANE (PUTRESCINE) + DDVP",MERCERATITE KEY,ETS MEZGHANI,KEY,ACETATE D’AMMONIUM,ACETATE D’AMMONIUM,ACETATE D’AMMONIUM,TRIMETHYLAMINE HCL,TRIMETHYLAMINE HCL,TRIMETHYLAMINE HCL,"1,4-DIAMINOBUTANE (PUTRESCINE)","1,4-DIAMINOBUTANE (PUTRESCINE)","1,4-DIAMINOBUTANE (PUTRESCINE)",DDVP,DDVP,DDVP,ETS MEZGHANI,KEY,Not Approved
ACÉTATE D'AMMONIUM MIN 8.75 G/SACHET +TRIMETHYLAMINEHYDROCHLORIDE 1.25 G/SACHET + DIAMINUBUTANE 0.04 G/SACHET +KILLDISC INSECTICIDE À BASE D'ESFENVALERATE 0.04 G/PIÉGE,PHEROSANCERATITIS,NUTRIPLANT,SANSAN PRODESING/,ACÉTATE D'AMMONIUM MIN 8.75 G/SACHET,ACÉTATE D'AMMONIUM MIN 8.75 G/SACHET,ACETATE D’AMMONIUM,TRIMETHYLAMINEHYDROCHLORIDE 1.25 G/SACHET,TRIMETHYLAMINEHYDROCHLORIDE 1.25 G/SACHET,TRIMETHYLAMINE HCL,DIAMINUBUTANE 0.04 G/SACHET,DIAMINUBUTANE 0.04 G/SACHET,DIAMINUBUTANE,KILLDISC INSECTICIDE À BASE D'ESFENVALERATE 0.04 G/PIÉGE,KILLDISC INSECTICIDE À BASE D'ESFENVALERATE 0.04 G/PIÉGE,ESFENVALERATE,NUTRIPLANT,SANSAN PRODESING,Not Approved
ACIBENZOLAR-S- METHYL,BION 50 WG,AGRIPROTEC,SYNGENTA,ACIBENZOLAR-S- METHYL,ACIBENZOLAR-S- METHYL,ACIBENZOLAR-S-METHYL,,,,,,,,,,AGRIPROTEC,SYNGENTA,Not Approved
ACIDE BETA INDOLBUTIRIQUE,EXUBERONE,SEPCM,,ACIDE BETA INDOLBUTIRIQUE,ACIDE BETA INDOLBUTIRIQUE,ACIDE BETA INDOLBUTIRIQUE,,,,,,,,,,SEPCM,,
ACIDE CHLORO 4 PHÉNOXYACÉTIQUE +NAPHOXY 2ACÉTAMIDE,PROCARPIL,SEPCM,CMPA,ACIDE CHLORO 4 PHÉNOXYACÉTIQUE,ACIDE CHLORO 4 PHÉNOXYACÉTIQUE,ACIDE CHLORO 4 PHENOXYACETIQUE,NAPHOXY 2ACÉTAMIDE,NAPHOXY 2ACÉTAMIDE,NAPHOXY 2ACETAMIDE,,,,,,,SEPCM,CMPA,Not Approved
ACIDE GIBBERELLIQUE,AMINOGIBB,AMINCO,GLOBACHEM,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,AMINCO,GLOBACHEM,
ACIDE GIBBERELLIQUE,B 40 SG,BIOPROTECTION,VALENTBIOSCIENCE / SUMITOMO,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,BIOPROTECTION,VALENTBIOSCIENCE SUMITOMO,
ACIDE GIBBERELLIQUE,BERELEX 40 SG,SEPCM,CHEMICAL AGRO EUROPE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,SEPCM,AGRO EUROPE,
ACIDE GIBBERELLIQUE,FITOGIB,BIOPROTECTION,NUFARM,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,BIOPROTECTION,NUFARM,
ACIDE GIBBERELLIQUE,GIB GRO,BIOPROTECTION,NUFARM,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,BIOPROTECTION,NUFARM,
ACIDE GIBBERELLIQUE,GIBB 3,AGROSYSTEMES,GLOBACHEM,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,AGROSYSTEMES,GLOBACHEM,
ACIDE GIBBERELLIQUE,GIBERKEY,ETS MEZGHANNI,INDUSTRIAL QUIMICA KEY,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,ETS MEZGHANNI,INDUSTRIAL QUIMICA KEY,
ACIDE GIBBERELLIQUE,PROGIBB 40 SG,BIOPROTECTION,VALENTBIOSCIENCE / SUMITOMO,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,BIOPROTECTION,VALENTBIOSCIENCE SUMITOMO,
ACIDE GIBBERELLIQUE,PROTAGIBB,PROTAGRI,UNITED PHOSPHORUS,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,,,,,,,,,,PROTAGRI,UNITED PHOSPHORUS,
ACIDE GIBBÉRELLIQUE +PHENOTHIOL,FENGIB EC,INNOVA,SIPCAM INAGRA S.A,ACIDE GIBBÉRELLIQUE,ACIDE GIBBÉRELLIQUE,ACIDE GIBBERELLIQUE,PHENOTHIOL,PHENOTHIOL,PHENOTHIOL,,,,,,,INNOVA,SIPCAM INAGRA S A,Not Approved
ACLONIFEN,ACTION 60 SC,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM LIMITED/,ACLONIFEN,ACLONIFEN,ACLONIFEN,,,,,,,,,,SHARDA CROPCHEM,SHARDA CROPCHEM,
ACLONIFEN,CHALLENGE 600SC,EL MOUSSEM AGRICOLE,BAYER AG,ACLONIFEN,ACLONIFEN,ACLONIFEN,,,,,,,,,,EL MOUSSEM,BAYER AG,
ACLONIFEN,COSTA SC,SANABEL AGRO,SHARDA CROPCHEM LIMITED/,ACLONIFEN,ACLONIFEN,ACLONIFEN,,,,,,,,,,SANABEL AGRO,SHARDA CROPCHEM,
ACRINATHRINE,ORYTIS,ATLAS AGRICOLE,CHEMINOVA,ACRINATHRINE,ACRINATHRINE,ACRINATHRINE,,,,,,,,,,ATLAS,CHEMINOVA,Not Approved
ACRINATHRINE,"RUFAST 7,5 EW",EL MOUSSEM AGRICOLE,CHEMINOVA,ACRINATHRINE,ACRINATHRINE,ACRINATHRINE,,,,,,,,,,EL MOUSSEM,CHEMINOVA,Not Approved
ACRINATHRINE +ABAMECTINE,TRIPSOL EW,AGROSYSTEME,CHEMINOVA/FMC,ACRINATHRINE,ACRINATHRINE,ACRINATHRINE,ABAMECTINE,ABAMECTINE,ABAMECTINE,,,,,,,AGROSYSTEME,CHEMINOVA FMC,Not Approved
ADEPIDYN+ DIFENOCONAZOLE,MIRAVIS DUO SC,BIOPROTECTION,ARYSTA LIFESCIENCES,ADEPIDYN,ADEPIDYN,ADEPIDYN,DIFENOCONAZOLE,DIFENOCONAZOLE,DIFENOCONAZOLE,,,,,,,BIOPROTECTION,ARYSTA LIFESCIENCES,Pending
ALKYLPHENOLEXY-ETHYLÈNE,ETALDYNE 95,SEPCM,CMPA/ESPAGNE,ALKYLPHENOLEXY-ETHYLÈNE,ALKYLPHENOLEXY-ETHYLÈNE,ALKYLPHENOLEXY-ETHYLENE,,,,,,,,,,SEPCM,CMPA ESPAGNE,Not Approved
ALPHACYPERMETHRINE,ALLIGATOR,SSCC,GHARDA CHEMICALS LTD,ALPHACYPERMETHRINE,ALPHACYPERMETHRINE,ALPHACYPERMETHRINE,,,,,,,,,,SSCC,GHARDA,Not Approved
ALPHACYPERMETHRINE,REMAX EC,FERTITECH,SHARDA CROPCHEM,ALPHACYPERMETHRINE,ALPHACYPERMETHRINE,ALPHACYPERMETHRINE,,,,,,,,,,FERTITECH,SHARDA CROPCHEM,Not Approved
ALPHAMÉTHRINE,BONBARD,COTUGRAIN,BASF,ALPHAMÉTHRINE,ALPHAMÉTHRINE,ALPHAMETHRINE,,,,,,,,,,COTUGRAIN,BASF,Not Approved
AMETOCTRADIN + DIMETHOMORPH,ORVEGO,AGRIPROTEC,BASF,AMETOCTRADIN,AMETOCTRADIN,AMETOCTRADINE,DIMETHOMORPH,DIMETHOMORPH,DIMETHOMOPHE,,,,,,,AGRIPROTEC,BASF,Not Approved
AMETOCTRADINE,SNOOKER SC,STIMA,BASF,AMETOCTRADINE,AMETOCTRADINE,AMETOCTRADINE,,,,,,,,,,STIMA,BASF,
AMIDOSULFURON + IODOSULFURON + MEFEMPYR DIETHYL,SEKATOR OD,AGRONOMIC LAND,BAYER CROPSCIENCES,AMIDOSULFURON,AMIDOSULFURON,AMIDOSULFURON,IODOSULFURON,IODOSULFURON,IODOSULFURON,MEFEMPYR DIETHYL,MEFEMPYR DIETHYL,MEFEMPYR DIETHYL,,,,AGRONOMIC LAND,BAYER CROPSCIENCES,
AMINOPYRALYDES + FLORASULAM,LANCELOT 450 WG,SEPCM,DOW AGROSCIENCES,AMINOPYRALYDES,AMINOPYRALYDES,AMINOPYRALID,FLORASULAM,FLORASULAM,FLORASULAME,,,,,,,SEPCM,DOW AGROSCIENCES,
AMINOPYRALYDES + FLORASULAM,LANCELOT NEO 450 WG,SEPCM,DOW AGROSCIENCES,AMINOPYRALYDES,AMINOPYRALYDES,AMINOPYRALID,FLORASULAM,FLORASULAM,FLORASULAME,,,,,,,SEPCM,DOW AGROSCIENCES,
AMINOPYRALYDES + FLORASULAM + 2.4 D EHE,NIKOS FORTE,ATLAS AGRICOLE,DOW AGROSCIENCES,AMINOPYRALYDES,AMINOPYRALYDES,AMINOPYRALID,FLORASULAM,FLORASULAM,FLORASULAME,2.4 D EHE,2.4 D EHE,2.4 D EHE,,,,ATLAS,DOW AGROSCIENCES,
AMISULBROM,LEIMAY 20 SC,EL MOUSSEM AGRICOLE,NISSAN CHEMICAL EUROPE SAS/ARYSTA LIFESCIENCES,AMISULBROM,AMISULBROM,AMISULBROM,,,,,,,,,,EL MOUSSEM,NISSAN EUROPE ARYSTA LIFESCIENCES,
ARYLEX ACTIVE (HALAUXIFEN-METHYL) + PYROXSULAM + CLOQUINTOCET ACIDE,TARZEK WG,ATLAS AGRICOLE,DOW AGROSCIENCES,ARYLEX ACTIVE (HALAUXIFEN-METHYL),ARYLEX ACTIVE (HALAUXIFEN-METHYL),ARYLEX ACTIVE (HALAUXIFEN-METHYL),PYROXSULAM,PYROXSULAM,PYROXSULAM,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,,,,ATLAS AGRICOLE,DOW AGROSCIENCES,
ARYLEX ACTIVE(HALAUXIFEN-METHYL) + PYROXSULAM +CLOQUINTOCET ACIDE,TARZEK + UPTAKE SL,COTUGRAIN,DOW AGROSCIENCES,ARYLEX ACTIVE(HALAUXIFEN-METHYL),ARYLEX ACTIVE(HALAUXIFEN-METHYL),ARYLEX ACTIVE (HALAUXIFEN-METHYL),PYROXSULAM,PYROXSULAM,PYROXSULAM,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,,,,COTUGRAIN,DOW AGROSCIENCES,
ARYLEX ACTIVE(HALAUXIFEN-METHYL) + PYROXSULAM +CLOQUINTOCET ACIDE,TARZEK + UPTAKE SL,ATLAS AGRICOLE,DOW AGROSCIENCES,ARYLEX ACTIVE(HALAUXIFEN-METHYL),ARYLEX ACTIVE(HALAUXIFEN-METHYL),ARYLEX ACTIVE (HALAUXIFEN-METHYL),PYROXSULAM,PYROXSULAM,PYROXSULAM,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,,,,ATLAS,DOW AGROSCIENCES,
ARYLEX TM + FORASULAM + CLOQUINTOCET ACIDE +SURFER,CLASSICO WG,SEPCM,DOW AGROSCIENCES,ARYLEX TM,ARYLEX TM,ARYLEX TM,FORASULAM,FORASULAM,FLORASULAME,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,SURFER,SURFER,SOUFRE,SEPCM,DOW AGROSCIENCES,
AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,BOTECTOR WG,STIMA,BIOFERM/SAN AGROW/AUTRICHE,AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,,,,,,,,,,STIMA,BIOFERM SAN AGROW AUTRICHE,
"AZADIRACHTINE (0,03 %) + HUILE DE NEEM",NIMBICIDINE,TASMID,T. STANES &CO.LTD.,"AZADIRACHTINE (0,03 %)","AZADIRACHTINE (0,03 %)",AZADIRACHTINE,HUILE DE NEEM,HUILE DE NEEM,HUILE DE NEEM,,,,,,,TASMID,T STANES,
AZADIRACHTINE 32 G/L,OIKOS MAX,EL KHADRA,SIPCAM INAGRA,AZADIRACHTINE 32 G/L,AZADIRACHTINE 32 G/L,AZADIRACHTINE,,,,,,,,,,EL KHADRA,SIPCAM INAGRA,
AZOXYSTROBIN + FLUTRIAFOL,CURATEX EXTRA SC,FERTITECH,SHARDA CROPCHEM,AZOXYSTROBIN,AZOXYSTROBIN,AZOXYSTROBINE,FLUTRIAFOL,FLUTRIAFOL,FLUTRIAFOL,,,,,,,FERTITECH,SHARDA CROPCHEM,Not Approved
AZOXYSTROBIN + FLUTRIAFOL,CURAX EXTRA SC,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED,AZOXYSTROBIN,AZOXYSTROBIN,AZOXYSTROBINE,FLUTRIAFOL,FLUTRIAFOL,FLUTRIAFOL,,,,,,,AGRIMED DISTRIBUTION,SHARDA CROPCHEM,Not Approved
AZOXYSTROBINE,ASTRO EC,TASMID,ZHEJIANG E-TONG CHEMICAL,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,TASMID,ZHEJIANG E TONG,
AZOXYSTROBINE,AXYTOP 50WG,EXCEL AGRI,SHARDA CROPCHEM INDE,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,EXCEL AGRI,SHARDA CROPCHEM INDE,
AZOXYSTROBINE,AZOX SC,ETS MEZGHANNI,"JIANGYIN SULI CHEMICAL CO.LTDI,Q,KEY",AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,ETS MEZGHANNI,JIANGYIN SULI LTDI Q KEY,
AZOXYSTROBINE,CAYEN 500 WG,RAYEN PHYTAGRI,SHARDA,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,RAYEN PHYTAGRI,SHARDA,
AZOXYSTROBINE,GLOBAZTAR 250 SC,AGROSYSTEMES,GLOBACHEM,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,AGROSYSTEMES,GLOBACHEM,
AZOXYSTROBINE,HYDO 250 SC,STEC,NANJING AGROCHEMICAL/JIANGYIN SULI CHEMICAL,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,STEC,NANJING JIANGYIN SULI,
AZOXYSTROBINE,LEGADO 250 SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,EL KHADRA,INDUSTRIAS AFRAZA ALBAUGH EUROPE,
AZOXYSTROBINE,SINSTAR SC,SANABEL AGRO,SINON CORPORATION,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,SANABEL AGRO,SINON CORPORATION,
AZOXYSTROBINE,SORBISTAR,SOCOOPEC,ZHEJIANG E-TONG CHEMICAL,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,,,,,,,,,,SOCOOPEC,ZHEJIANG E TONG,
AZOXYSTROBINE + CHLOROTHALONIL,PRIORI OPTI,BIOPROTECTION,SYNGENTA,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,CHLOROTHALONIL,CHLOROTHALONIL,CHLOROTHALONIL,,,,,,,BIOPROTECTION,SYNGENTA,Not Approved
AZOXYSTROBINE + CYPROCONAZOLE,COUGAR SC,PROTAGRI,UPL LIMITED,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,CYPROCONAZOLE,CYPROCONAZOLE,CYPROCONAZOLE,,,,,,,PROTAGRI,UPL,Not Approved
AZOXYSTROBINE +CYPROCONAZOLE,DOUBLE FORCE,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,CYPROCONAZOLE,CYPROCONAZOLE,CYPROCONAZOLE,,,,,,,SANABEL AGRO,SHARDA CROPCHEM INDE,Not Approved
AZOXYSTROBINE + DIFECONAZOLE,PRIORI GOLD 250 SC,SOLAGRI,SYNGENTA CROP PROTECTION,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,DIFECONAZOLE,DIFECONAZOLE,DIFECONAZOLE,,,,,,,SOLAGRI,SYNGENTA,
AZOXYSTROBINE + DIFENOCONAZOLE,ALLIANCE TOP SC,AGRI PLUS,NANJING AGROCHEMICAL,AZOXYSTROBINE,AZOXYSTROBINE,AZOXYSTROBINE,DIFENOCONAZOLE,DIFENOCONAZOLE,DIFENOCONAZOLE,,,,,,,AGRI PLUS,NANJING,
