SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
AZOXYSTROBINE + DIFECONAZOLE,PRIORI GOLD 250 SC,SOLAGRI,SYNGENTA CROP PROTECTION,AZOXYSTROBINE,AZOXYSTROBINE,DIFECONAZOLE,DIFECONAZOLE,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
AZOXYSTROBINE + CHLOROTHALONIL,PRIORI OPTI,BIOPROTECTION,SYNGENTA,AZOXYSTROBINE,AZOXYSTROBINE,CHLOROTHALONIL,CHLOROTHALONIL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
CHLOROTHALONIL + PROPICONAZOLE + CYPROCONAZOLE,PRIORI XTRA,SOLAGRI,SYNGENTA,CHLOROTHALONIL,CHLOROTHALONIL,PROPICONAZOLE,PROPICONAZOLE,CYPROCONAZOLE,CYPROCONAZOLE,N/A,N/A,SOLAGRI,SYNGENTA
PYROXSULAM,PRIORITY,ATLAS AGRICOLE,DOW AGROSCIENCES,PYROXSULAM,PYROXSULAM,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,DOW AGROSCIENCES
BOSCALID +PYRACLOSTROBIN,PRISTINE WG,AGRIPROTEC,BASF,BOSCALID,BOSCALID,PYRACLOSTROBIN,PYRACLOSTROBIN,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
EMAMECTIN BENZOATE,PROACT 50 EC,TASMID,ASTRACHEM,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,ASTRACHEM
DICAMBA-SEL DIMETHYLAMINE (DMA),PROCAMBA,SSCC,GHARDA CHEMICAL,DICAMBA-SEL DIMETHYLAMINE (DMA),DICAMBA-SEL DIMETHYLAMINE (DMA),N/A,N/A,N/A,N/A,N/A,N/A,SSCC,GHARDA
ACIDE CHLORO 4 PHÉNOXYACÉTIQUE +NAPHOXY 2ACÉTAMIDE,PROCARPIL,SEPCM,CMPA,ACIDE CHLORO 4 PHÉNOXYACÉTIQUE,ACIDE CHLORO 4 PHÉNOXYACÉTIQUE,NAPHOXY 2ACÉTAMIDE,NAPHOXY 2ACÉTAMIDE,N/A,N/A,N/A,N/A,SEPCM,CMPA
EMAMECTIN BENZOATE,PROCLAIM 05 SG,BIOPROTECTION,SYNGENTA,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
PROPAQUIZAFOP,PRODIGE,FERTITECH,SHARDA CROPCHEM LIMITED,PROPAQUIZAFOP,PROPAQUIZAFOP,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,SHARDA CROPCHEM
EMAMECTIN BENZOATE,PROFAST EC,PLANETE VERTE,ASTRACHEM/ASTRANOVA,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,N/A,N/A,N/A,N/A,N/A,N/A,PLANETE VERTE,ASTRACHEM ASTRANOVA
ACIDE GIBBERELLIQUE,PROGIBB 40 SG,BIOPROTECTION,VALENTBIOSCIENCE / SUMITOMO,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,VALENTBIOSCIENCE SUMITOMO
THIOPHANATE-MÉTHYL,PROLATOP,EL MOUSSEM AGRICOLE,NUFARM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
FENPYRAZAMINE,PROLECTUS 50WG,SEPCM,SUMITOMO CHEMICAL AGRO EUROPE,FENPYRAZAMINE,FENPYRAZAMINE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,SUMITOMO AGRO EUROPE
METROBROMURON,PROMAN,NEGANOR,BELCHIM CROP PROTECTION,METROBROMURON,METROBROMURON,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,BELCHIM
PROPAMOCARBE,PROMESS,JADWA AGROTEC,ARYSTA LIFE SCIENCE BENELUX / BELGIQUE/ARYSTALIFESCIENCE,PROPAMOCARBE,PROPAMOCARBE,N/A,N/A,N/A,N/A,N/A,N/A,JADWA AGROTEC,ARYSTA LIFE BENELUX BELGIQUE ARYSTALIFESCIENCE
PROPAMOCARBE,PROMORE 722 SL,ETS MEZGHANI,ASTRACHEM,PROPAMOCARBE,PROPAMOCARBE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ASTRACHEM
MYCLOBUTANIL,PROMY,AGRINOVA,SHARDA CROPCHEM LIMITED INDE,MYCLOBUTANIL,MYCLOBUTANIL,N/A,N/A,N/A,N/A,N/A,N/A,AGRINOVA,SHARDA CROPCHEM INDE
PROMOCARB,PROPAMIX SL,TASMID,AGRIA,PROMOCARB,PROMOCARB,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,AGRIA
PROPYZAMIDE,PROPER FLO SC,AGROSYSTEMES,GLOBACHEM,PROPYZAMIDE,PROPYZAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
PROPAMOCARBE,PROPLANT,PROTAGRI,ARYSTA LIFE SCIENCE BENELUX / BELGIQUE,PROPAMOCARBE,PROPAMOCARBE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,ARYSTA LIFE BENELUX BELGIQUE
CHLORANTRANILIPROLE + EMAMECTIN BENZOATE,PROPROLE (SC),TASMID,"NANJING AGROCHEMICAL CO., LTD.",CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,N/A,N/A,N/A,N/A,TASMID,NANJING
PROPYZAMIDE,PROPYZ,AGRIPROTEC,BARCLAY CHEMICALS LTD,PROPYZAMIDE,PROPYZAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BARCLAY
PROTHIOCONAZOLE + TEBUCONAZOLE,PROSARO 250 EC,PROMOCHIMIE,BAYER CROPSCIENCE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
SPIROXAMINE,PROSPER 300 CS,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROXAMINE,SPIROXAMINE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
SPIROXAMINE,PROSPER 500 EC,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROXAMINE,SPIROXAMINE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
ACIDE GIBBERELLIQUE,PROTAGIBB,PROTAGRI,UNITED PHOSPHORUS,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UNITED PHOSPHORUS
PROTHIOCONAZOLE + TEBUCONAZOLE,PROTECT PLUS EC,EXCEL AGRI,SHARDA CROPCHEM,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,EXCEL AGRI,SHARDA CROPCHEM
DIFENOCONAZOLE,PROTECTOR,AMINCO,GLOBACHEM,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,GLOBACHEM
HYDROLYSAT DE PROTÉINES,PROTEINKEY,ETS.MEZGHANI,INDUSTRIAL QUIMICA KEY,HYDROLYSAT DE PROTÉINES,HYDROLYSAT DE PROTÉINES,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
PROTHIOCONAZOLE,PROTEZOLE EC,SANABEL AGRO,SHARDA CROPCHEM,PROTHIOCONAZOLE,PROTHIOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
CAPTANE,PROTHANE,DELTA AGRICOLE PLUS,SHARDA,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,DELTA PLUS,SHARDA
PROMOCARB + CYMOXANIL,PROXANIL 450 SC,BIOPROTECTION,ARYSTALIFESCIENCE,PROMOCARB,PROMOCARB,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,BIOPROTECTION,ARYSTALIFESCIENCE
PYRIPROXYFENE,PROXIMO EC,EL KHADRA,INDUSTRIAS,PYRIPROXYFENE,PYRIPROXYFENE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS
EMAMECTIN BENZOATE + PYRIPROXYFEN,PROXYSAFE EC,PLANETE VERTE,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,PYRIPROXYFEN,PYRIPROXYFEN,N/A,N/A,N/A,N/A,PLANETE VERTE,SHANDONG WEIFANG RAINBOW
DIFENOCONAZOLE,PROZOLE 250 EC,ETS MEZGHANI,ASTRACHEM,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ASTRACHEM
NATURAL PYRETHRIN,PULSEI EC,COTUGRAIN,SPEISA SA ESPAGNE,NATURAL PYRETHRIN,NATURAL PYRETHRIN,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,SPEISA SA ESPAGNE
FÉNOXAPROP-P-ETHYL + IODOSULFURON-MÉTHYL SODIUM + MÉFENPYR - DIÉTHYL,PUMA EVOLUTION,JADWA AGROTEC,BAYER CROPSCIENCE,FÉNOXAPROP-P-ETHYL,FÉNOXAPROP-P-ETHYL,IODOSULFURON-MÉTHYL SODIUM,IODOSULFURON-MÉTHYL SODIUM,MÉFENPYR - DIÉTHYL,MÉFENPYR - DIÉTHYL,N/A,N/A,JADWA AGROTEC,BAYER CROPSCIENCE
PYRIMÉTHANIL,PYRAMIDE,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE,PYRIMÉTHANIL,PYRIMÉTHANIL,N/A,N/A,N/A,N/A,N/A,N/A,EXCEL AGRI,SHARDA CROPCHEM INDE
CHLORPYRIPHOSETHYL,PYRIFOS,FERTITECH,SHARDA,CHLORPYRIPHOSETHYL,CHLORPYRIPHOSETHYL,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,SHARDA
PYRIMÉTHANIL,PYRMA SC,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM LIMITED INDE,PYRIMÉTHANIL,PYRIMÉTHANIL,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM INDE
PYRIMÉTHANIL,PYRUS 400 SC,STEC,UPL,PYRIMÉTHANIL,PYRIMÉTHANIL,N/A,N/A,N/A,N/A,N/A,N/A,STEC,UPL
FLUFENOXURON,QATAR,AGROSYSTEMES,GLOBACHEM,FLUFENOXURON,FLUFENOXURON,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
FENAZAQUIN 20%,QUEEN PRO SC,SHARDA CROPCHEM LIMITED TUNISIA,SHARDA CROPCHEM LIMITED INDE,FENAZAQUIN 20%,FENAZAQUIN 20%,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM INDE
FENAZAQUIN 20%,QUEEN SC,SHARDA CROPCHEM LIMITED TUNISIA,SHARDA CROPCHEM LIMITED INDE,FENAZAQUIN 20%,FENAZAQUIN 20%,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM INDE
PHOSPHURE D’AL. +PHOSPHURE D’HY.,QUICKPHOS,PROTAGRI,UNITED PHOSPHORUS LTD,PHOSPHURE D’AL.,PHOSPHURE D’AL.,PHOSPHURE D’HY.,PHOSPHURE D’HY.,N/A,N/A,N/A,N/A,PROTAGRI,UNITED PHOSPHORUS
KRÉSOXIM-MÉTHYL,QUIMERA WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL,KRÉSOXIM-MÉTHYL,KRÉSOXIM-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS AFRAZA ALBAUGH EUROPE
THIOPHANATE-MÉTHYL,RACHET WP,AGRIPROTEC,NUFARM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
FLUTRIAFOL,RADIKAL SC,AGRIMED DISTRIBUTION,SHARDA,FLUTRIAFOL,FLUTRIAFOL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMED DISTRIBUTION,SHARDA
BENTAZONE,RAINZONE EC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE,BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHINE
TRIFLURALINE,RALINE 480 EC,EL KHADRA,JIANGSU,TRIFLURALINE,TRIFLURALINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,JIANGSU
CUIVRE(OXYCHLORURE DE CUIVRE 605 G/KG),RAMCU 35 WG,STIMA,MANICA S.P.A,CUIVRE(OXYCHLORURE DE CUIVRE 605 G/KG),CUIVRE(OXYCHLORURE DE CUIVRE 605 G/KG),N/A,N/A,N/A,N/A,N/A,N/A,STIMA,MANICA S P A
CYAZOFAMID,RANMAN TOP SC,AGRIPROTEC,ISK BIOSCIENCES EUROPE N.V,CYAZOFAMID,CYAZOFAMID,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ISK BIOSCIENCES EUROPE N V
METAZACHLOR +QUINMERAC,RAPSAN TDI SC,AGROSYSTEMES,GLOBACHEM,METAZACHLOR,METAZACHLOR,QUINMERAC,QUINMERAC,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
BRODIFACOUM,RATICIDE DETIA,STIMA,DETIA,BRODIFACOUM,BRODIFACOUM,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,DETIA
LAMBDA-CYHALOTHRINE,RAVANE,AGROSYSTEMES,GLOBACHEM,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
DIFENOCONAZOLE,RAYOK,HALAB TUNISIE,JSC AUGUST INC,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,HALAB,JSC AUGUST
PROCHLORAZE + TRITICONAZOLE,REAL SUPER,AGRIPROTEC,BASF,PROCHLORAZE,PROCHLORAZE,TRITICONAZOLE,TRITICONAZOLE,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
CYMOXANIL+ ZOXAMID,REBOOT WG,AGRIMATCO,GOWAN CROP PROTECTION LIMITED,CYMOXANIL,CYMOXANIL,ZOXAMID,ZOXAMID,N/A,N/A,N/A,N/A,AGRIMATCO,GOWAN
PROHEXADIONE-CALCIUM,REGALIS,AGRIPROTEC,BASF,PROHEXADIONE-CALCIUM,PROHEXADIONE-CALCIUM,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
CHLORPYRIPHOS-MÉTHYL,RELDAN 40 EC,INNOVA,DOW AGROSCIENCES,CHLORPYRIPHOS-MÉTHYL,CHLORPYRIPHOS-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,DOW AGROSCIENCES
DIFLUFENICAN +FLUFENACET,RELIANCE SC,BIOPROTECTION,UPL,DIFLUFENICAN,DIFLUFENICAN,FLUFENACET,FLUFENACET,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL
ALPHACYPERMETHRINE,REMAX EC,FERTITECH,SHARDA CROPCHEM,ALPHACYPERMETHRINE,ALPHACYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,SHARDA CROPCHEM
TRICHODERMA ASPERELLUM ICC012: +TRICHODERMA GAMSII ICC080:,REMEDIER WP,STIMA,ISAGRO SPA/GOWAN,TRICHODERMA ASPERELLUM ICC012:,TRICHODERMA ASPERELLUM ICC012:,TRICHODERMA GAMSII ICC080:,TRICHODERMA GAMSII ICC080:,N/A,N/A,N/A,N/A,STIMA,ISAGRO GOWAN
THIAMÉTOXAM,RENOVA,PROTAGRI,UNITED PHOSPHORUS LTD,THIAMÉTOXAM,THIAMÉTOXAM,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UNITED PHOSPHORUS
PYRACLOSTROBINE+EPOXICONAZOLE,RETENGO PLUS EC,RAYEN PHYTAGRI,BASF,PYRACLOSTROBINE,PYRACLOSTROBINE,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,BASF
MANDIPROPAMIDE,REVUS 250 SC,EL MOUSSEM AGRICOLE,SYNGENTA,MANDIPROPAMIDE,MANDIPROPAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,SYNGENTA
MANIPROPAMIDE + OXYCHLORURE DE CUIVRE,REVUS C,BIOPROTECTION,SYNGENTA,MANIPROPAMIDE,MANIPROPAMIDE,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
MEFENTRIFLUCONAZOLE + PYRACLOSTROBIN,REVYCARE EC,AGRIPROTEC,BASF,MEFENTRIFLUCONAZOLE,MEFENTRIFLUCONAZOLE,PYRACLOSTROBIN,PYRACLOSTROBIN,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
MEFENTRIFLUCONAZOLE,REVYSTAR EC,AGRIMATCO,BASF,MEFENTRIFLUCONAZOLE,MEFENTRIFLUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,BASF
MEFENTRIFLUCONAZOLE+FLUXAPYROXADE,REVYTREX EC,BIOPROTECTION,BASF,MEFENTRIFLUCONAZOLE,MEFENTRIFLUCONAZOLE,FLUXAPYROXADE,FLUXAPYROXADE,N/A,N/A,N/A,N/A,BIOPROTECTION,BASF
EPOXICONAZOLE + THIOPHANATE-METHYL,REX DUO,STIMA,BASF,EPOXICONAZOLE,EPOXICONAZOLE,THIOPHANATE-METHYL,THIOPHANATE-METHYL,N/A,N/A,N/A,N/A,STIMA,BASF
REYNOUTRIA SACHALINENSIS,REYSANA,BIOPROTECTION,ELEPHANT VERT EUROPE SA,REYNOUTRIA SACHALINENSIS,REYNOUTRIA SACHALINENSIS,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,ELEPHANT VERT EUROPE SA
PYRADABEN,RHAMSES 20 WP,PLANETE VERTE,ASTRANOVA,PYRADABEN,PYRADABEN,N/A,N/A,N/A,N/A,N/A,N/A,PLANETE VERTE,ASTRANOVA
MANÈBE,RIDANÈBE,SEPCM,CEREXAGRI/UPL,MANÈBE,MANÈBE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,CEREXAGRI UPL
PROMOCARB + CYMOXANIL,RIVAL DUO 450 SC,AGRONOMIC LAND,AGRIA,PROMOCARB,PROMOCARB,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,AGRONOMIC LAND,AGRIA
HEXYTHIAZOX +ABAMECTINE,ROCINANTE,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU,HEXYTHIAZOX,HEXYTHIAZOX,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,AGRIPROTEC,PROPLAN QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
ABAMECTINE,ROMECTIN EC,AGRONOMIC LAND,"ROTAM CHEMISTRY CO.,LTD",ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,AGRONOMIC LAND,ROTAM CHEMISTRY
IPRODIONE,ROVRALAQUAFLO,COTUGRAIN IMPEX,FMC,IPRODIONE,IPRODIONE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,FMC
EPOXICONAZOLE,RUBRIC,AGROSYSTEMES,CHEMINOVA,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,CHEMINOVA
ACRINATHRINE,"RUFAST 7,5 EW",EL MOUSSEM AGRICOLE,CHEMINOVA,ACRINATHRINE,ACRINATHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,CHEMINOVA
METHOXYFENOZIDE,RUNNER,PROMOCHIMIE,DOW AGROSCIENCES,METHOXYFENOZIDE,METHOXYFENOZIDE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,DOW AGROSCIENCES
METHOXYFENOZIDE,RUNNER,INNOVA,DOW AGROSCIENCES,METHOXYFENOZIDE,METHOXYFENOZIDE,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,DOW AGROSCIENCES
PYRIFLUQUINAZON,RYCAR SC,EL KHADRA,SIPCAM INAGRAS,PYRIFLUQUINAZON,PYRIFLUQUINAZON,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SIPCAM INAGRAS
DINOCAP MEPTYL + MYCLOBUTANIL,SABITHANE GOLD,PROMOCHIMIE,DOW AGROSCIENCES,DINOCAP MEPTYL,DINOCAP MEPTYL,MYCLOBUTANIL,MYCLOBUTANIL,N/A,N/A,N/A,N/A,PROMOCHIMIE,DOW AGROSCIENCES
IPRODIONE,SABUESO,AGRIPROTEC,PROPLAN,IPRODIONE,IPRODIONE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROPLAN
TRIFLUSULFURON METHYL,SAFARI 50 WG,SEPCM,FMC,TRIFLUSULFURON METHYL,TRIFLUSULFURON METHYL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,FMC
FLUAZAINDOLZINE,SALIBRO 500 SC,AGRIPROTEC,CORTEVA,FLUAZAINDOLZINE,FLUAZAINDOLZINE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,CORTEVA
FLUAZAINDOLZINE,SALIBRO 500 SC,BARAKA AGRICOLE,CORTEVA,FLUAZAINDOLZINE,FLUAZAINDOLZINE,N/A,N/A,N/A,N/A,N/A,N/A,BARAKA,CORTEVA
"2,4-D SEL D’AMINE",SANAPHEN D 720 SL,ATLAS AGRICOLE,DOW,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,DOW
DIFLUFENICAN +FLUFENACET,SC,BIOPROTECTION,UPL,DIFLUFENICAN,DIFLUFENICAN,FLUFENACET,FLUFENACET,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL
EPOXICONAZOLE,SCOOBY DOO,AMINCO,GLOBACHEM,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,GLOBACHEM
DIFENOCONAZOLE,SCORE 250 EC,BIOPROTECTION,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
THIOPHANATE-MÉTHYL,SEGNOR 70 WP,SANABEL AGRO,UPL,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,UPL
CINNAMALDHEYDE,SEICAN EC,ATLAS AGRICOLE,SEIPASA S.A,CINNAMALDHEYDE,CINNAMALDHEYDE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,SEIPASA S A
AMIDOSULFURON + IODOSULFURON + MEFEMPYR DIETHYL,SEKATOR OD,AGRONOMIC LAND,BAYER CROPSCIENCES,AMIDOSULFURON,AMIDOSULFURON,IODOSULFURON,IODOSULFURON,MEFEMPYR DIETHYL,MEFEMPYR DIETHYL,N/A,N/A,AGRONOMIC LAND,BAYER CROPSCIENCES
CLÉTHODIME,SELECT SUPER,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE,CLÉTHODIME,CLÉTHODIME,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
CYPERMÉTHRINE,SELENE,ETS. MEZGHANI,INDUSTRIAL QUIMICA KEY,CYPERMÉTHRINE,CYPERMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
METRIBUZINE,SENCOR 600SC,PROMOCHIMIE,BAYER CROPSCIENCE,METRIBUZINE,METRIBUZINE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
FLUXAPYROXAD + DIFENOCONAZOLE,SERCADIS PLUS SC,AGRIPROTEC,BASF,FLUXAPYROXAD,FLUXAPYROXAD,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
"2,4-D SEL D’AMINE",SHARMINA 720 SL,AGRINOVA,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",N/A,N/A,N/A,N/A,N/A,N/A,AGRINOVA,SHARDA
CYPERMÉTHRINE,SHERPA,JADWA AGROTEC,CMPA,CYPERMÉTHRINE,CYPERMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,JADWA AGROTEC,CMPA
"(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)",SHIN –ETSU MD T,COTUGRAIN,SHIN ETSU CHEMICAL/ CBC (EUROPE),"(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)","(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)",N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,SHIN ETSU CBC EUROPE
LAMBDA-CYHALOTHRINE,SIAL ME,NEGANOR FFT,AUGUST INC/CORPORATE,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR FFT,AUGUST CORPORATE
SIMAZINE,SIMAKEY,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY/,SIMAZINE,SIMAZINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
CYPERMETHRINE,SINOCYPER,EL KHADRA,CROPSAVE PESTICIDES INDIAN PVT.LTD,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,CROPSAVE PESTICIDES INDIAN PVT
IPRODIONE,SINPRO SC,SANABEL AGRO,SINON,IPRODIONE,IPRODIONE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SINON
AZOXYSTROBINE,SINSTAR SC,SANABEL AGRO,SINON CORPORATION,AZOXYSTROBINE,AZOXYSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SINON CORPORATION
