SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
"ACETATE D’AMMONIUM + TRIMETHYLAMINE HCL + 1,4-DIAMINOBUTANE (PUTRESCINE) + DDVP",MERCERATITE KEY,ETS MEZGHANI,KEY,ACETATE D’AMMONIUM,ACETATE D’AMMONIUM,TRIMETHYLAMINE HCL,TRIMETHYLAMINE HCL,"1,4-DIAMINOBUTANE (PUTRESCINE)","1,4-DIAMINOBUTANE (PUTRESCINE)",DDVP,DDVP,ETS MEZGHANI,KEY
METHIOCARBE,MESUROL 200 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE,METHIOCARBE,METHIOCARBE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
MÉTALDÉHYDE,METAKEY,ETS.MEZGHANI,INDUS QUIMICAKEY,MÉTALDÉHYDE,MÉTALDÉHYDE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUS QUIMICAKEY
MÉTALDÉHYDE,METAPRO,PROTAGRI,UNITED PHOSPHORUS,MÉTALDÉHYDE,MÉTALDÉHYDE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UNITED PHOSPHORUS
METALDEHYDE,METAX,DELTA AGRICOLE PLUS,SHARDA CROPCHEM LIMITED INDE,METALDEHYDE,METALDEHYDE,N/A,N/A,N/A,N/A,N/A,N/A,DELTA PLUS,SHARDA CROPCHEM INDE
SULFATE DE CUIVRE + FOLPEL +CYMOXANIL,METEOR,EL MOUSSEM AGRICOLE,NUFARM,SULFATE DE CUIVRE,SULFATE DE CUIVRE,FOLPEL,FOLPEL,CYMOXANIL,CYMOXANIL,N/A,N/A,EL MOUSSEM,NUFARM
THIOPHANATE-MÉTHYL,METHYL-T,BIOPROTECTION,ARYSTA LIFESCIENCE,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,ARYSTA LIFESCIENCE
TÉBUCONAZOLE,METROSTAR SC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
METSULFURON MÉTHYL,METSY WG,PROTAGRI,UNITED PHOSPHORUS,METSULFURON MÉTHYL,METSULFURON MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UNITED PHOSPHORUS
CUIVRE +METALAXYL,MEVAXIL CUIVRE WP,NEGANOR,IQV DEL VALLES,CUIVRE,CUIVRE,METALAXYL,METALAXYL,N/A,N/A,N/A,N/A,NEGANOR,IQV DEL VALLES
SULFATE DE CUIVRE TRIBASIQUE,MEXIRAM TRI HI BIO WG,EL MOUSSEM AGRICOLE,ALBAUGH EUROPE SARL,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,ALBAUGH EUROPE
SOUFRE,MICRO-CAP,NEGANOR,AGROW ALLIED,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,AGROW ALLIED
FOLPET+ FOSÉTHYL-AL,MIKAL FLASH,SEPCM,BAYER CROPSCIENCE,FOLPET,FOLPET,FOSÉTHYL-AL,FOSÉTHYL-AL,N/A,N/A,N/A,N/A,SEPCM,BAYER CROPSCIENCE
THIOPHANATE-MÉTHYL,MIL TOP,DELTA AGRICOLE PLUS,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,DELTA PLUS,MEGHMANI INDUSTRIES
MILBEMECTIN,MILBEKNOCK,AGRIPROTEC,"MITSUI CHEMICALS AGRO,INC",MILBEMECTIN,MILBEMECTIN,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,MITSUI AGRO
TEBUFENOZIDE,MIMIC 240 SC,EL MOUSSEM AGRICOLE,NIPPON SODA/JAPAN,TEBUFENOZIDE,TEBUFENOZIDE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NIPPON SODA JAPAN
PYRACLOSTROBIN + BOSCALID,MIRACLE WDG,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM LIMITED,PYRACLOSTROBIN,PYRACLOSTROBIN,BOSCALID,BOSCALID,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM
